Binding.html#method-i-irb%%irb (Binding)
IRB/ContextExtender.html#method-c-def_extend_command%%def_extend_command (IRB::ContextExtender)
IRB/ContextExtender.html#method-c-install_extend_commands%%install_extend_commands (IRB::ContextExtender)
IRB/Context.html#method-c-new%%new (IRB::Context)
IRB/Context.html#method-i-change_workspace%%change_workspace (IRB::Context)
IRB/Context.html#method-i-debug-3F%%debug? (IRB::Context)
IRB/Context.html#method-i-debug_level-3D%%debug_level= (IRB::Context)
IRB/Context.html#method-i-eval_history-3D%%eval_history= (IRB::Context)
IRB/Context.html#method-i-__exit__%%__exit__ (IRB::Context)
IRB/Context.html#method-i-exit%%exit (IRB::Context)
IRB/Context.html#method-i-file_input-3F%%file_input? (IRB::Context)
IRB/Context.html#method-i-history_file-3D%%history_file= (IRB::Context)
IRB/Context.html#method-i-history_file%%history_file (IRB::Context)
IRB/Context.html#method-i-home_workspace%%home_workspace (IRB::Context)
IRB/Context.html#method-i-inspect-3F%%inspect? (IRB::Context)
IRB/Context.html#method-i-inspect_mode-3D%%inspect_mode= (IRB::Context)
IRB/Context.html#method-i-irb_level%%irb_level (IRB::Context)
IRB/Context.html#method-i-main%%main (IRB::Context)
IRB/Context.html#method-i-pop_workspace%%pop_workspace (IRB::Context)
IRB/Context.html#method-i-prompting-3F%%prompting? (IRB::Context)
IRB/Context.html#method-i-prompt_mode-3D%%prompt_mode= (IRB::Context)
IRB/Context.html#method-i-push_workspace%%push_workspace (IRB::Context)
IRB/Context.html#method-i-save_history-3D%%save_history= (IRB::Context)
IRB/Context.html#method-i-save_history%%save_history (IRB::Context)
IRB/Context.html#method-i-_set_last_value%%_set_last_value (IRB::Context)
IRB/Context.html#method-i-set_last_value%%set_last_value (IRB::Context)
IRB/Context.html#method-i-use_loader-3D%%use_loader= (IRB::Context)
IRB/Context.html#method-i-use_loader-3F%%use_loader? (IRB::Context)
IRB/Context.html#method-i-use_loader%%use_loader (IRB::Context)
IRB/Context.html#method-i-use_readline-3D%%use_readline= (IRB::Context)
IRB/Context.html#method-i-use_tracer-3D%%use_tracer= (IRB::Context)
IRB/Context.html#method-i-verbose-3F%%verbose? (IRB::Context)
IRB/Context.html#method-i-workspaces%%workspaces (IRB::Context)
IRB/ExtendCommandBundle.html#method-c-def_extend_command%%def_extend_command (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-c-extend_object%%extend_object (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-c-install_extend_commands%%install_extend_commands (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-i-install_alias_method%%install_alias_method (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-i-irb_context%%irb_context (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-i-irb_exit%%irb_exit (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-i-irb_load%%irb_load (IRB::ExtendCommandBundle)
IRB/ExtendCommandBundle.html#method-i-irb_require%%irb_require (IRB::ExtendCommandBundle)
IRB/FileInputMethod.html#method-c-new%%new (IRB::FileInputMethod)
IRB/FileInputMethod.html#method-i-encoding%%encoding (IRB::FileInputMethod)
IRB/FileInputMethod.html#method-i-eof-3F%%eof? (IRB::FileInputMethod)
IRB/FileInputMethod.html#method-i-gets%%gets (IRB::FileInputMethod)
IRB/Frame.html#method-c-bottom%%bottom (IRB::Frame)
IRB/Frame.html#method-c-new%%new (IRB::Frame)
IRB/Frame.html#method-c-sender%%sender (IRB::Frame)
IRB/Frame.html#method-c-top%%top (IRB::Frame)
IRB/Frame.html#method-i-bottom%%bottom (IRB::Frame)
IRB/Frame.html#method-i-top%%top (IRB::Frame)
IRB/Frame.html#method-i-trace_func%%trace_func (IRB::Frame)
IRB.html#method-c-conf%%conf (IRB)
IRB.html#method-c-CurrentContext%%CurrentContext (IRB)
IRB.html#method-c-default_src_encoding%%default_src_encoding (IRB)
IRB.html#method-c-initialize_tracer%%initialize_tracer (IRB)
IRB.html#method-c-irb_abort%%irb_abort (IRB)
