Sync_m/Err.html#method-c-Fail%%Fail (Sync_m::Err)
Sync_m/Err/LockModeFailer.html#method-c-Fail%%Fail (Sync_m::Err::LockModeFailer)
Sync_m/Err/UnknownLocker.html#method-c-Fail%%Fail (Sync_m::Err::UnknownLocker)
Sync_m.html#method-c-append_features%%append_features (Sync_m)
Sync_m.html#method-c-define_aliases%%define_aliases (Sync_m)
Sync_m.html#method-c-extend_object%%extend_object (Sync_m)
Sync_m.html#method-c-new%%new (Sync_m)
Sync_m.html#method-i-sync_exclusive-3F%%sync_exclusive? (Sync_m)
Sync_m.html#method-i-sync_extend%%sync_extend (Sync_m)
Sync_m.html#method-i-sync_inspect%%sync_inspect (Sync_m)
Sync_m.html#method-i-sync_locked-3F%%sync_locked? (Sync_m)
Sync_m.html#method-i-sync_lock%%sync_lock (Sync_m)
Sync_m.html#method-i-sync_shared-3F%%sync_shared? (Sync_m)
Sync_m.html#method-i-sync_synchronize%%sync_synchronize (Sync_m)
Sync_m.html#method-i-sync_try_lock%%sync_try_lock (Sync_m)
Sync_m.html#method-i-sync_unlock%%sync_unlock (Sync_m)
