Syslog/Constants.html#method-c-included%%included (Syslog::Constants)
Syslog.html#method-c-close%%close (Syslog)
Syslog.html#method-c-facility%%facility (Syslog)
Syslog.html#method-c-ident%%ident (Syslog)
Syslog.html#method-c-inspect%%inspect (Syslog)
Syslog.html#method-c-instance%%instance (Syslog)
Syslog.html#method-c-log%%log (Syslog)
Syslog.html#method-c-mask-3D%%mask= (Syslog)
Syslog.html#method-c-mask%%mask (Syslog)
Syslog.html#method-c-open-21%%open! (Syslog)
Syslog.html#method-c-opened-3F%%opened? (Syslog)
Syslog.html#method-c-open%%open (Syslog)
Syslog.html#method-c-options%%options (Syslog)
Syslog.html#method-c-reopen%%reopen (Syslog)
Syslog/Logger/Formatter.html#method-i-call%%call (Syslog::Logger::Formatter)
Syslog/Logger.html#method-c-make_methods%%make_methods (Syslog::Logger)
Syslog/Logger.html#method-c-new%%new (Syslog::Logger)
Syslog/Logger.html#method-c-syslog-3D%%syslog= (Syslog::Logger)
Syslog/Logger.html#method-c-syslog%%syslog (Syslog::Logger)
Syslog/Logger.html#method-i-add%%add (Syslog::Logger)
Syslog/Logger.html#method-i-debug%%debug (Syslog::Logger)
Syslog/Logger.html#method-i-error%%error (Syslog::Logger)
Syslog/Logger.html#method-i-fatal%%fatal (Syslog::Logger)
Syslog/Logger.html#method-i-info%%info (Syslog::Logger)
Syslog/Logger.html#method-i-unknown%%unknown (Syslog::Logger)
Syslog/Logger.html#method-i-warn%%warn (Syslog::Logger)
Syslog/Macros.html#method-c-included%%included (Syslog::Macros)
Syslog/Macros.html#method-i-LOG_MASK%%LOG_MASK (Syslog::Macros)
Syslog/Macros.html#method-i-LOG_UPTO%%LOG_UPTO (Syslog::Macros)
