Kernel.html#method-c-URI%%URI (Kernel)
URI/Escape.html#method-i-decode%%decode (URI::Escape)
URI/Escape.html#method-i-encode%%encode (URI::Escape)
URI/Escape.html#method-i-escape%%escape (URI::Escape)
URI/Escape.html#method-i-unescape%%unescape (URI::Escape)
URI/File.html#method-c-build%%build (URI::File)
URI/File.html#method-i-check_password%%check_password (URI::File)
URI/File.html#method-i-check_user%%check_user (URI::File)
URI/File.html#method-i-check_userinfo%%check_userinfo (URI::File)
URI/File.html#method-i-set_host%%set_host (URI::File)
URI/File.html#method-i-set_password%%set_password (URI::File)
URI/File.html#method-i-set_port%%set_port (URI::File)
URI/File.html#method-i-set_userinfo%%set_userinfo (URI::File)
URI/File.html#method-i-set_user%%set_user (URI::File)
URI/FTP.html#method-c-build%%build (URI::FTP)
URI/FTP.html#method-c-new%%new (URI::FTP)
URI/FTP.html#method-i-path%%path (URI::FTP)
URI/FTP.html#method-i-set_path%%set_path (URI::FTP)
URI/FTP.html#method-i-set_typecode%%set_typecode (URI::FTP)
URI/FTP.html#method-i-to_s%%to_s (URI::FTP)
URI/FTP.html#method-i-typecode-3D%%typecode= (URI::FTP)
URI/Generic.html#method-c-build2%%build2 (URI::Generic)
URI/Generic.html#method-c-build%%build (URI::Generic)
URI/Generic.html#method-c-component%%component (URI::Generic)
URI/Generic.html#method-c-default_port%%default_port (URI::Generic)
URI/Generic.html#method-c-new%%new (URI::Generic)
URI/Generic.html#method-i-2B%%+ (URI::Generic)
URI/Generic.html#method-i-2D%%- (URI::Generic)
URI/Generic.html#method-i-3D-3D%%== (URI::Generic)
URI/Generic.html#method-i-absolute-3F%%absolute? (URI::Generic)
URI/Generic.html#method-i-absolute%%absolute (URI::Generic)
URI/Generic.html#method-i-coerce%%coerce (URI::Generic)
URI/Generic.html#method-i-component_ary%%component_ary (URI::Generic)
URI/Generic.html#method-i-component%%component (URI::Generic)
URI/Generic.html#method-i-default_port%%default_port (URI::Generic)
URI/Generic.html#method-i-eql-3F%%eql? (URI::Generic)
URI/Generic.html#method-i-find_proxy%%find_proxy (URI::Generic)
URI/Generic.html#method-i-fragment-3D%%fragment= (URI::Generic)
URI/Generic.html#method-i-hash%%hash (URI::Generic)
